[High Premium Options List]
Symbol,Rank,Rank,Lot,Intrinsic,ltp,Strike_Price,Call_Ask1%,Call_Ask2%,Call_Ask3%,Put_Ask1%,Put_Ask2%,Put_Ask3%,Day_Range,Week_Range,Month_Range
NBCC,290,290,1,9.918,95.34,95,1.9,5,,1.0999999999999999,3.9,,3,9.42,18.01
IDFCFIRSTB,175,175,1,53.124,70.04,70,1.7000000000000002,6.6000000000000005,8.6,2,6.1,7.1,4.63,5.74,13.2
COFORGE,212,212,1,205.667,1289,1280,1.6,6,,1,4.6,4.7,4.61,10.41,22.55
INOXWIND,377,377,1,50.91,96.13,95,1.5,6.3,,0.2,3.5999999999999996,4.7,4.32,10.57,22.38
UPL,190,190,1,389.303,644.8,640,1.5,5.3,,1,4.1000000000000005,3,4.71,9.1,14.86
NAUKRI,151,151,1,751.29,1069.7,1060,1.4000000000000001,5.2,,0.4,3.4000000000000004,,3.74,9.14,12.84
AUBANK,144,144,1,245.579,974.1,970,1.4000000000000001,4.3,,0.8,3.1,,2.8,5.29,9.95
IEX,500,500,1,14.063,125.72,126,1.3,4.6,0,1.4000000000000001,3.8,0,2.35,8.87,14.23
BPCL,54,54,1,219.838,372.1,370,1.2,4,,0.5,2.7,0.8,2.15,6.66,9.38
KPITTECH,313,313,1,120.042,812.7,810,1.2,5.6000000000000005,,1.0999999999999999,4.2,,3.85,13.58,20.86
SAMMAANCAP,463,463,1,275.018,154.63,155,1.2,2.7,,1.3,1.6,,2.04,6.12,17.26
DIXON,163,163,1,749.752,10599,10600,1.2,5.3,,1,4.7,,3.51,9.24,20.51
SUZLON,174,174,1,5.713,44.25,44,1.2,4.8,0.2,0.5,2.8000000000000003,3.4000000000000004,2.3,8.11,17.46
BANDHANBNK,277,277,1,153.395,173.65,172.5,1.2,4.3,,0.6,2.5,,2.68,5.91,10.47
INFY,11,11,1,207.05925,1327.5,1320,1.0999999999999999,4.3999999999999995,6.6000000000000005,0.8,3.8,5.7,3.8,9.49,12.94
RVNL,157,157,1,45.655,319.2,320,1,2.1999999999999997,2.5,0.8999999999999999,11.3,14.099999999999998,2.4,8.73,17.4
CONCOR,223,223,1,167.904,507.05,505,1,3,,0.7000000000000001,2,,1.6,6.35,9.6
SHRIRAMFIN,45,45,1,322.11,1064.7,1060,1,4,,0.5,3,,2.29,6.08,10.73
MAZDOCK,119,119,1,220.89,2280.8,2280,1,4.7,,1.2,4.3999999999999995,,2.9,7.93,14.56
HINDZINC,37,37,1,32.42,590.85,590,1,5.1,,0.7000000000000001,4.3,,2.5,12.53,14.77
PATANJALI,180,180,1,111.348,532.95,535,0.8999999999999999,3.5999999999999996,,1.6,3.5999999999999996,,2.28,6.45,10.19
EXIDEIND,270,270,1,172.99,338.4,337.5,0.8999999999999999,3.3000000000000003,,0.8,2.6,,2.06,6,11.02
ABCAPITAL,122,122,1,123.042,346.2,345,0.8999999999999999,3.6999999999999997,,0.8999999999999999,3,,2.65,7.11,10.7
NUVAMA,309,309,1,210.384,1263.5,1260,0.8999999999999999,5,,0.8,4.2,,3.09,9.86,14.42
SIEMENS,91,91,1,371.813,3302.2,3300,0.8999999999999999,4.1000000000000005,,0.8999999999999999,3.5999999999999996,,3.58,6.49,10.16
VBL,59,59,1,57.542,457.3,455,0.8999999999999999,3.8,,0.8,2.9000000000000004,,1.93,6.65,12.03
SYNGENE,357,357,1,117.843,446.95,450,0.8999999999999999,4.3,,0.8999999999999999,3.6999999999999997,,2.49,12.21,19.53
ABB,80,80,1,369.849,5917.5,5900,0.8999999999999999,4,,0.7000000000000001,3.5000000000000004,,3.93,7.39,9.61
INDIANB,76,76,1,593.249,982.75,980,0.8999999999999999,4.1000000000000005,,0.8,3.5000000000000004,,2.93,7.44,11.55
COALINDIA,32,32,1,171.077,426,425,0.8,3.1,,0.6,2.1999999999999997,,2.11,6.25,7.61
KFINTECH,365,365,1,84.984,1011.3,1020,0.8,3.5999999999999996,,1.3,4.7,,3.94,7.42,12.15
360ONE,206,206,1,231.141,1126.9,1120,0.8,4.2,,0.5,3.3000000000000003,,2.67,9.36,12.26
HAL,30,30,1,555.023,4025.4,4050,0.8,4,,1.2,4,,2.73,7.84,11.98
IRFC,64,64,1,43.36,111.89,112,0.8,3.3000000000000003,0.1,0.8,4.3,,1.85,6.61,12.48
KAYNES,292,292,1,715.496,3799.5,3800,0.8,5.6000000000000005,,0.7000000000000001,5.1,5.5,3.67,9.37,30.79
MCX,172,172,1,122.4,2396.2,2400,0.8,5,6.800000000000001,0.8,4.3999999999999995,,3.71,13.24,14.2
PAGEIND,232,232,1,1263.363,33070,33000,0.8,2.7,,0.6,3.2,,2.09,6.18,11.95
GLENMARK,182,182,1,339.566,2039.2,2040,0.8,3.5000000000000004,4.3999999999999995,0.7000000000000001,2.9000000000000004,,2.1,5.53,10.38
BAJAJHLDNG,77,77,1,6095.892,11501,11500,0.8,4,,0.8,3.1,,2.68,4.82,13.68
