[Gap-Up Stocks]
Symbol,Rank,Lot,GAP Value,GAP Diff,Quality Score,Diff_3Y,ATH Gap%,LTP,Intrinsic,3Y,ATH,Volatility%,Details
REGAAL,1258,1,87.69 - 94.0,6.71,4,,38.0,90.8,50.98,,145.7,8.36,(Stock Name: REGAAL RESOURCES LIMITED; Sector: Consumer Defensive; Intrinsic: 50.98; Revenue: 1148 cr; Net Profit: 50 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 145.7 => 38.0%; SMA 200: 0.0 => 100.0%; RSI: 77.12; Day Volatility: 8.36; Week Volatility: 12.41; Month Volatility: 23.46; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 60.02 => 33.89%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
FILATFASH,1430,1,0.18 - 0.19,5.26,2,,94.0,0.18,2.89,,2.86,12.7,(Stock Name: FILATEX FASHIONS LIMITED; Sector: Consumer Cyclical; Intrinsic: 2.89; Revenue: 159 cr; Net Profit: 4 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 2.86 => 94.0%; SMA 200: 0.46 => -154.81%; RSI: 23.66; Day Volatility: 12.7; Week Volatility: 27.78; Month Volatility: 72.22; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.42 => -133.33%; Week Support: 0.42 => -133.33%; Month Support: 0.0 => 100.0%; Day NWE: 0.14 => 24.81%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
GSLSU,1411,1,70.19 - 73.5,4.5,2,,80.0,66.82,71.34,,333.0,7.51,(Stock Name: GLOBAL SURFACES LIMITED; Sector: Basic Materials; Intrinsic: 71.34; Revenue: 245 cr; Net Profit: -19 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 333.0 => 80.0%; SMA 200: 107.29 => -60.57%; RSI: 26.0; Day Volatility: 7.51; Week Volatility: 14.59; Month Volatility: 39.81; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 91.86 => -37.47%; Week Support: 91.86 => -37.47%; Month Support: 0.0 => 100.0%; Day NWE: 58.22 => 12.87%; Week NWE: 52.62 => 21.26%; Month NWE: 0.0 => 100.0%)
CONFIPET,1184,1,35.45 - 37.0,4.19,4,,70.0,36.54,41.99,,120.0,7.77,(Stock Name: CONFIDENCE PETRO IND LTD.; Sector: Energy; Intrinsic: 41.99; Revenue: 4414 cr; Net Profit: 84 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 120.0 => 70.0%; SMA 200: 43.57 => -19.23%; RSI: 67.54; Day Volatility: 7.77; Week Volatility: 11.45; Month Volatility: 19.27; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 46.05 => -26.03%; Week Support: 46.05 => -26.03%; Month Support: 44.25 => -21.1%; Day NWE: 27.75 => 24.05%; Week NWE: 20.0 => 45.27%; Month NWE: 0.0 => 100.0%)
HMVL,1381,1,62.46 - 64.97,3.86,3,,80.0,61.59,211.17,,314.0,6.9,(Stock Name: HINDUSTAN MEDIA VENT LTD; Sector: Communication Services; Intrinsic: 211.17; Revenue: 793 cr; Net Profit: 67 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 314.0 => 80.0%; SMA 200: 78.68 => -27.75%; RSI: 30.25; Day Volatility: 6.9; Week Volatility: 9.76; Month Volatility: 17.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 73.2 => -18.85%; Week Support: 73.2 => -18.85%; Month Support: 41.25 => 33.02%; Day NWE: 59.06 => 4.11%; Week NWE: 59.51 => 3.38%; Month NWE: 34.64 => 43.75%)
DEVX,1401,1,37.52 - 38.99,3.77,2,,42.0,37.0,26.89,,64.05,4.65,(Stock Name: DEV ACCELERATOR LIMITED; Sector: Real Estate; Intrinsic: 26.89; Revenue: 216 cr; Net Profit: 2 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 64.05 => 42.0%; SMA 200: 0.0 => 100.0%; RSI: 35.96; Day Volatility: 4.65; Week Volatility: 10.39; Month Volatility: 27.03; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 34.32 => 7.24%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
BALAJEE,1426,1,26.37 - 27.4,3.76,4,,74.0,25.61,37.46,,99.22,8.32,(Stock Name: SHREE TIRUPATI BALAJEE L; Sector: Consumer Cyclical; Intrinsic: 37.46; Revenue: 577 cr; Net Profit: 13 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 99.22 => 74.0%; SMA 200: 43.44 => -69.63%; RSI: 27.09; Day Volatility: 8.32; Week Volatility: 14.14; Month Volatility: 31.77; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 38.55 => -50.53%; Week Support: 38.55 => -50.53%; Month Support: 0.0 => 100.0%; Day NWE: 22.92 => 10.5%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
JUNIPER,751,1,204.35 - 212.34,3.76,3,,63.0,198.0,124.4,,538.25,6.63,(Stock Name: JUNIPER HOTELS LIMITED; Sector: Consumer Cyclical; Intrinsic: 124.4; Revenue: 1024 cr; Net Profit: 146 cr; Recommended: none; Projected High: 430.0; Projected Medium: 410.0; Projected Low: 357.0; All time high: 538.25 => 63.0%; SMA 200: 269.04 => -35.88%; RSI: 33.8; Day Volatility: 6.63; Week Volatility: 13.72; Month Volatility: 22.18; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 224.3 => -13.28%; Week Support: 224.3 => -13.28%; Month Support: 0.0 => 100.0%; Day NWE: 181.71 => 8.23%; Week NWE: 174.75 => 11.74%; Month NWE: 0.0 => 100.0%)
KALPATARU,642,1,299.5 - 311.05,3.71,0,,34.0,303.45,190.1,,457.4,5.84,(Stock Name: KALPATARU LIMITED; Sector: Real Estate; Intrinsic: 190.1; Revenue: 2339 cr; Net Profit: -93 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 457.4 => 34.0%; SMA 200: 0.0 => 100.0%; RSI: 39.88; Day Volatility: 5.84; Week Volatility: 10.55; Month Volatility: 16.48; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 280.65 => 7.51%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
HMAAGRO,1182,1,24.77 - 25.65,3.43,4,,96.0,24.34,17.24,,585.0,3.83,(Stock Name: HMA AGRO INDUSTRIES LTD; Sector: Consumer Defensive; Intrinsic: 17.24; Revenue: 6846 cr; Net Profit: 170 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 585.0 => 96.0%; SMA 200: 30.1 => -23.68%; RSI: 36.66; Day Volatility: 3.83; Week Volatility: 11.76; Month Volatility: 16.99; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 27.75 => -14.01%; Week Support: 27.75 => -14.01%; Month Support: 0.0 => 100.0%; Day NWE: 23.03 => 5.39%; Week NWE: 23.4 => 3.87%; Month NWE: 0.0 => 100.0%)
