[GTT Pending List]
Symbol,ltp,GTT,Rank,MTF,Rating,Intrinsic,Recommended,Day,Day_Gap%,Week,Week_Gap%,Month,Month_Gap%
BRIGADE,770.6,770.14,340.0,5.0,4,265.258,strong_buy,770.14,0.06,667.63,13.36,766.45,0.54
JSFB,377.65,376.06,795.0,5.0,5,409.976,none,376.06,0.42,315.73,16.4,,0.0
THOMASCOOK,124.44,123.64,683.0,5.0,3,50.504,strong_buy,123.64,0.65,102.05,18.0,111.79,10.17
CONCOR,496.15,492.18,224.0,5.0,3,168.502,hold,492.18,0.8,372.35,24.95,382.92,22.82
RELIGARE,228.29,225.87,600.0,5.0,2,87.55,none,225.87,1.06,208.7,8.58,181.67,20.42
SUNTECK,385.35,380.36,694.0,5.0,4,227.482,strong_buy,380.36,1.29,328.6,14.73,267.31,30.63
AKUMS,419.7,413.97,653.0,5.0,2,205.371,strong_buy,413.97,1.37,,0.0,,0.0
ROUTE,607.75,599.11,809.0,5.0,5,401.554,buy,599.11,1.42,466.41,23.26,,0.0
IDBI,98.2,96.75,94.0,5.0,4,64.85,none,96.75,1.48,87.86,10.53,73.18,25.48
ATUL,5810.0,5723.45,359.0,5.0,4,2009.92,buy,5723.45,1.49,4753.99,18.18,4567.59,21.38
NMDC,78.64,77.45,147.0,5.0,6,36.917,hold,77.45,1.52,68.13,13.37,59.37,24.5
ASHOKA,141.24,139.09,796.0,5.0,4,149.948,buy,139.09,1.52,121.74,13.81,133.9,5.2
JUSTDIAL,688.7,677.66,679.0,5.0,4,574.214,buy,677.66,1.6,554.92,19.43,545.67,20.77
TECHNOE,907.7,891.56,502.0,5.0,5,334.682,strong_buy,891.56,1.78,689.87,24.0,983.31,0.0
DELHIVERY,378.5,371.57,263.0,5.0,3,128.627,buy,371.57,1.83,329.71,12.89,,0.0
HEIDELBERG,162.99,159.96,823.0,5.0,4,57.789,hold,159.96,1.86,154.27,5.35,151.74,6.9
RECLTD,355.8,349.14,111.0,5.0,6,317.1,strong_buy,349.14,1.87,290.44,18.37,293.65,17.47
HIKAL,200.38,196.54,962.0,5.0,1,96.844,strong_buy,196.54,1.91,163.84,18.24,172.52,13.91
YESBANK,21.66,21.24,148.0,5.0,4,15.751,underperform,21.24,1.94,19.37,10.55,-37.14,271.45
IRCON,152.82,149.81,407.0,5.0,2,68.467,none,149.81,1.97,114.68,24.95,,0.0
KIRIINDUS,472.0,462.38,912.0,5.0,2,583.623,none,462.38,2.04,455.47,3.5,390.32,17.31
REPCOHOME,383.75,375.94,975.0,5.0,4,577.19,buy,375.94,2.04,321.29,16.27,254.91,33.57
JKPAPER,327.9,321.12,698.0,5.0,4,323.413,strong_buy,321.12,2.07,274.25,16.36,277.67,15.32
KIRLOSIND,2827.5,2767.54,886.0,5.0,4,6548.759,none,2767.54,2.12,2214.65,21.67,2665.34,5.74
CYIENT,1123.2,1098.66,452.0,5.0,2,504.051,hold,1098.66,2.18,888.56,20.89,823.44,26.69
NATCOPHARM,839.75,821.2,393.0,5.0,4,482.88,hold,821.2,2.21,630.48,24.92,595.7,29.06
PDSL,314.95,307.44,769.0,5.0,3,120.549,strong_buy,307.44,2.39,256.02,18.71,226.43,28.11
CHAMBLFERT,420.55,410.0,364.0,5.0,7,245.524,buy,410.0,2.51,364.07,13.43,397.76,5.42
SHILPAMED,272.15,264.97,709.0,5.0,2,124.441,buy,264.97,2.64,229.81,15.56,249.47,8.34
HGINFRA,652.8,635.36,782.0,5.0,4,470.352,strong_buy,635.36,2.67,492.44,24.57,,0.0
