[Gap-Up Stocks]
Symbol,Rank,Lot,GAP Value,GAP Diff,Quality Score,Diff_3Y,ATH Gap%,LTP,Intrinsic,3Y,ATH,Volatility%,Details
GCLWW,6298,100,0.03 - 0.06,58.59,3,,51.0,0.03,0.27,,0.05,9.57,
OTLK,4600,100,1.1 - 1.3,15.38,-3,97.0,100.0,1.22,-0.28,37.0,878.4,11.91,(Stock Name: Outlook Therapeutics, Inc.; Sector: Healthcare; Intrinsic: -0.28; Revenue: 0 cr; Net Profit: -6 cr; Recommended: buy; Projected High: 10.0; Projected Medium: 6.0; Projected Low: 0.5; All time high: 878.4 => 100.0%; SMA 200: 0.87 => 28.57%; RSI: 84.69; Day Volatility: 11.91; Week Volatility: 19.22; Month Volatility: 37.75; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.87 => 28.69%; Week Support: 0.87 => 28.69%; Month Support: 4.0 => -227.87%; Day NWE: 0.57 => 53.03%; Week NWE: -1.26 => 203.01%; Month NWE: -4.75 => 488.97%)
CDNL,3374,100,33.18 - 36.25,8.47,3,,9.0,33.03,3299.43,,36.25,7.99,(Stock Name: Cardinal Infrastructure Group I; Sector: Industrials; Intrinsic: 3299.43; Revenue: 40 cr; Net Profit: 2 cr; Recommended: strong_buy; Projected High: 38.0; Projected Medium: 36.5; Projected Low: 35.0; All time high: 36.25 => 9.0%; SMA 200: 0.0 => 100.0%; RSI: 61.15; Day Volatility: 7.99; Week Volatility: 17.59; Month Volatility: 0.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: 0.0 => 100.0%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
RZLV,2736,100,2.53 - 2.75,8.0,-1,82.0,82.0,2.68,0.73,14.5,14.5,7.25,(Stock Name: Rezolve AI PLC; Sector: Technology; Intrinsic: 0.73; Revenue: 5 cr; Net Profit: -10 cr; Recommended: strong_buy; Projected High: 15.0; Projected Medium: 10.75; Projected Low: 7.0; All time high: 14.5 => 82.0%; SMA 200: 3.42 => -27.45%; RSI: 54.01; Day Volatility: 7.25; Week Volatility: 19.91; Month Volatility: 42.32; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.07 => 60.07%; Week Support: 1.07 => 60.07%; Month Support: 1.07 => 60.07%; Day NWE: 1.95 => 27.22%; Week NWE: -0.2 => 107.52%; Month NWE: 0.0 => 100.0%)
TMCI,4092,100,3.91 - 4.24,7.78,-3,84.0,89.0,4.06,1.19,26.0,37.17,9.39,(Stock Name: Treace Medical Concepts, Inc.; Sector: Healthcare; Intrinsic: 1.19; Revenue: 21 cr; Net Profit: -6 cr; Recommended: none; Projected High: 7.0; Projected Medium: 3.0; Projected Low: 2.0; All time high: 37.17 => 89.0%; SMA 200: 3.47 => 14.58%; RSI: 71.1; Day Volatility: 9.39; Week Volatility: 16.6; Month Volatility: 23.64; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 4.54 => -11.82%; Month Support: 3.92 => 3.45%; Day NWE: 2.85 => 29.72%; Week NWE: -0.2 => 104.81%; Month NWE: 0.0 => 100.0%)
PPBT,6148,100,3.69 - 4.0,7.75,-3,99.0,100.0,3.88,0.01,396.0,13900.0,7.5,
YEXT,3572,100,3.78 - 4.09,7.69,1,70.0,85.0,4.06,1.3,13.73,27.19,4.75,(Stock Name: Yext, Inc.; Sector: Technology; Intrinsic: 1.3; Revenue: 45 cr; Net Profit: 4 cr; Recommended: hold; Projected High: 6.0; Projected Medium: 5.5; Projected Low: 5.0; All time high: 27.19 => 85.0%; SMA 200: 6.56 => -61.65%; RSI: 54.44; Day Volatility: 4.75; Week Volatility: 14.34; Month Volatility: 29.62; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 5.51 => -35.71%; Week Support: 5.51 => -35.71%; Month Support: 4.29 => -5.67%; Day NWE: 2.91 => 28.36%; Week NWE: 2.22 => 45.37%; Month NWE: 2.1 => 48.39%)
COSM,5798,100,0.21 - 0.22,7.62,-1,94.0,99.0,0.21,0.4,3.42,23.84,15.65,(Stock Name: Cosmos Health Inc.; Sector: Healthcare; Intrinsic: 0.4; Revenue: 7 cr; Net Profit: -2 cr; Recommended: strong_buy; Projected High: 4.5; Projected Medium: 4.5; Projected Low: 4.5; All time high: 23.84 => 99.0%; SMA 200: 0.55 => -162.67%; RSI: 30.98; Day Volatility: 15.65; Week Volatility: 23.13; Month Volatility: 73.33; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.28 => -33.33%; Week Support: 0.28 => -33.33%; Month Support: 0.28 => -33.33%; Day NWE: 0.17 => 19.83%; Week NWE: -0.06 => 127.47%; Month NWE: -2.05 => 1076.98%)
GURE,6007,100,4.01 - 4.33,7.39,-1,86.0,99.0,4.15,79.39,30.5,747.0,9.19,(Stock Name: Gulf Resources, Inc.; Sector: Basic Materials; Intrinsic: 79.39; Revenue: 2 cr; Net Profit: -6 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 747.0 => 99.0%; SMA 200: 5.18 => -24.76%; RSI: 48.41; Day Volatility: 9.19; Week Volatility: 40.62; Month Volatility: 84.96; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.04 => 50.84%; Week Support: 2.04 => 50.84%; Month Support: 22.5 => -442.17%; Day NWE: 2.39 => 42.36%; Week NWE: 2.08 => 49.93%; Month NWE: -13.14 => 416.72%)
GOTU,4383,100,1.47 - 1.59,7.26,-1,82.0,99.0,1.52,0.77,8.44,149.05,6.77,(Stock Name: Gaotu Techedu Inc.; Sector: Consumer Defensive; Intrinsic: 0.77; Revenue: 634 cr; Net Profit: -41 cr; Recommended: buy; Projected High: 5.0270824; Projected Medium: 3.0056238; Projected Low: 1.6264614; All time high: 149.05 => 99.0%; SMA 200: 2.44 => -60.24%; RSI: 35.46; Day Volatility: 6.77; Week Volatility: 13.53; Month Volatility: 23.67; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.87 => -23.03%; Week Support: 1.87 => -23.03%; Month Support: 1.87 => -23.03%; Day NWE: 1.42 => 6.6%; Week NWE: 0.69 => 54.63%; Month NWE: 0.0 => 100.0%)
BKKT,3655,100,8.35 - 9.0,7.22,0,88.0,99.0,8.43,5.56,68.75,1270.0,9.24,(Stock Name: Bakkt, Inc.; Sector: Technology; Intrinsic: 5.56; Revenue: 151 cr; Net Profit: -10 cr; Recommended: none; Projected High: 19.0; Projected Medium: 19.0; Projected Low: 19.0; All time high: 1270.0 => 99.0%; SMA 200: 14.52 => -72.25%; RSI: 44.31; Day Volatility: 9.24; Week Volatility: 30.52; Month Volatility: 62.91; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.81 => 19.22%; Week Support: 6.81 => 19.22%; Month Support: 6.81 => 19.22%; Day NWE: 6.12 => 27.38%; Week NWE: -4.06 => 148.11%; Month NWE: 0.0 => 100.0%)
STEP,1717,100,42.52 - 45.82,7.2,0,43.0,43.0,44.39,-5.12,77.79,77.79,5.0,(Stock Name: StepStone Group Inc.; Sector: Financial Services; Intrinsic: -5.12; Revenue: 199 cr; Net Profit: -54 cr; Recommended: none; Projected High: 92.0; Projected Medium: 70.0; Projected Low: 60.0; All time high: 77.79 => 43.0%; SMA 200: 58.38 => -31.51%; RSI: 38.16; Day Volatility: 5.0; Week Volatility: 12.47; Month Volatility: 29.91; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 40.07 => 9.73%; Week Support: 40.07 => 9.73%; Month Support: 40.07 => 9.73%; Day NWE: 36.65 => 17.43%; Week NWE: 37.49 => 15.54%; Month NWE: 0.0 => 100.0%)
