[Equity NWE - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
SAMG,4902,100,1.0,1,11.99,0.03,4.06,5.79,4.12,(Stock Name: Silvercrest Asset Management Gr; Sector: Financial Services; Intrinsic: 6.46; Revenue: 13 cr; Net Profit: 0 cr; Recommended: none; Projected High: 20.0; Projected Medium: 20.0; Projected Low: 20.0; All time high: 23.2 => 48.0%; SMA 200: 14.77 => -23.21%; RSI: 31.01; Day Volatility: 4.12; Week Volatility: 8.42; Month Volatility: 14.75; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.54 => -12.93%; Week Support: 13.54 => -12.93%; Month Support: 13.93 => -16.18%; Day NWE: 11.99 => 0.03%; Week NWE: 11.5 => 4.06%; Month NWE: 11.3 => 5.79%)
GASS,3902,100,1.0,5,8.29,0.09,2.21,22.92,5.26,(Stock Name: StealthGas, Inc.; Sector: Industrials; Intrinsic: 19.43; Revenue: 17 cr; Net Profit: 6 cr; Recommended: buy; Projected High: 14.0; Projected Medium: 14.0; Projected Low: 14.0; All time high: 13.0 => 36.0%; SMA 200: 8.07 => 2.71%; RSI: 31.79; Day Volatility: 5.26; Week Volatility: 10.12; Month Volatility: 16.58; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.82 => 41.86%; Week Support: 4.82 => 41.86%; Month Support: 4.82 => 41.86%; Day NWE: 8.28 => 0.09%; Week NWE: 8.11 => 2.21%; Month NWE: 6.39 => 22.92%)
LFVN,4980,100,1.0,1,6.41,0.09,84.01,67.38,24.14,(Stock Name: Lifevantage Corporation; Sector: Consumer Defensive; Intrinsic: 2.64; Revenue: 20 cr; Net Profit: 1 cr; Recommended: none; Projected High: 9.0; Projected Medium: 7.0; Projected Low: 5.0; All time high: 27.86 => 77.0%; SMA 200: 6.73 => -4.98%; RSI: 43.63; Day Volatility: 24.14; Week Volatility: 40.61; Month Volatility: 41.93; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 3.9 => 39.16%; Month Support: 3.04 => 52.57%; Day NWE: 6.4 => 0.09%; Week NWE: 1.03 => 84.01%; Month NWE: 2.09 => 67.38%)
HEPS,2978,100,1.0,-1,2.51,0.12,17.02,,3.6,
TXNM,1283,100,1.0,3,57.06,0.26,3.86,13.9,1.0,(Stock Name: TXNM Energy, Inc.; Sector: Utilities; Intrinsic: 31.25; Revenue: 219 cr; Net Profit: 15 cr; Recommended: hold; Projected High: 61.25; Projected Medium: 61.25; Projected Low: 61.0; All time high: 59.53 => 4.0%; SMA 200: 58.3 => -2.17%; RSI: 30.95; Day Volatility: 1.0; Week Volatility: 1.35; Month Volatility: 2.22; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 34.63 => 39.31%; Month Support: 34.63 => 39.31%; Day NWE: 56.91 => 0.26%; Week NWE: 54.86 => 3.86%; Month NWE: 49.13 => 13.9%)
SU,287,100,1.0,5,55.33,0.38,-0.85,26.6,2.69,(Stock Name: Suncor Energy  Inc.; Sector: Energy; Intrinsic: 27.72; Revenue: 5107 cr; Net Profit: 633 cr; Recommended: buy; Projected High: 70.7264; Projected Medium: 67.78477; Projected Low: 50.314445; All time high: 70.29 => 21.0%; SMA 200: 52.28 => 5.51%; RSI: 26.89; Day Volatility: 2.69; Week Volatility: 8.39; Month Volatility: 16.42; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 30.79 => 44.35%; Week Support: 30.79 => 44.35%; Month Support: 30.79 => 44.35%; Day NWE: 55.12 => 0.38%; Week NWE: 55.8 => -0.85%; Month NWE: 40.61 => 26.6%)
CACI,975,100,1.0,5,466.42,0.4,9.64,5.02,4.31,(Stock Name: CACI International, Inc.; Sector: Technology; Intrinsic: 193.75; Revenue: 916 cr; Net Profit: 54 cr; Recommended: buy; Projected High: 800.0; Projected Medium: 700.0; Projected Low: 550.0; All time high: 683.5 => 32.0%; SMA 200: 555.49 => -19.1%; RSI: 29.28; Day Volatility: 4.31; Week Volatility: 8.78; Month Volatility: 20.97; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 318.6 => 31.69%; Week Support: 318.6 => 31.69%; Month Support: 318.6 => 31.69%; Day NWE: 464.54 => 0.4%; Week NWE: 421.43 => 9.64%; Month NWE: 442.99 => 5.02%)
WPC,737,100,1.0,5,71.22,0.47,5.36,22.36,2.26,(Stock Name: W. P. Carey Inc. REIT; Sector: Real Estate; Intrinsic: 37.05; Revenue: 174 cr; Net Profit: 52 cr; Recommended: buy; Projected High: 85.0; Projected Medium: 77.5; Projected Low: 73.0; All time high: 91.69 => 22.0%; SMA 200: 69.65 => 2.2%; RSI: 37.49; Day Volatility: 2.26; Week Volatility: 4.03; Month Volatility: 8.43; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 63.08 => 11.43%; Week Support: 63.08 => 11.43%; Month Support: 52.91 => 25.71%; Day NWE: 70.88 => 0.47%; Week NWE: 67.4 => 5.36%; Month NWE: 55.3 => 22.36%)
MCGA,4435,100,1.0,-3,10.23,0.49,,,0.12,
CEPO,4290,100,1.0,-3,10.63,0.53,,,0.17,
PRA,2601,100,1.0,1,24.58,0.72,10.67,44.27,0.42,(Stock Name: ProAssurance Corporation; Sector: Financial Services; Intrinsic: 25.94; Revenue: 110 cr; Net Profit: 7 cr; Recommended: hold; Projected High: 25.0; Projected Medium: 25.0; Projected Low: 25.0; All time high: 63.53 => 61.0%; SMA 200: 24.2 => 1.53%; RSI: 46.17; Day Volatility: 0.42; Week Volatility: 1.16; Month Volatility: 1.67; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 10.76 => 56.22%; Month Support: 10.76 => 56.22%; Day NWE: 24.4 => 0.72%; Week NWE: 21.95 => 10.67%; Month NWE: 13.69 => 44.27%)
