Chain,CE_2026-03-27,CE_2026-03-25,CE_2026-03-23,strikePrice,PE_2026-03-23,PE_2026-03-25,PE_2026-03-27
Bid,0,,,350,,,176.05
Ask,0.01,,,350,,,178.25
Ask,0.01,,,340,,,168.25
Bid,0,,,340,,,166.05
Ask,0.01,,,330,,,
Bid,0,,,330,,,
Ask,0.01,,,320,,,
Bid,0,,,320,,,
Bid,0,,,310,,,
Ask,0.01,,,310,,,
Bid,0,,,305,,,
Ask,0.01,,,305,,,
Ask,0.01,,,300,,,
Bid,0,,,300,,,
Ask,0.01,,,295,,,
Bid,0,,,295,,,
Bid,0,,,290,,,
Ask,0.01,,,290,,,
Bid,0,,,285,,,
Ask,0.01,,,285,,,
Bid,0,,,280,,,
Ask,0.01,,,280,,,
Bid,0,,,275,,,
Ask,0.01,,,275,,,
Bid,0,,,270,96.2,,
Ask,0.01,,,270,98.15,,
Bid,0,,,265,,,
Ask,0.01,,,265,,,
Ask,0.01,,,260,,,
Bid,0,,,260,,,
Ask,0.01,,,255,,,
Bid,0,,,255,,,
Bid,0,,,250,,,76.05
Ask,0.01,,0.01,250,,,78.25
Ask,0.01,,,245,,,73.25
Bid,0,,,245,,,70.85
Ask,0.01,0.01,0.01,240,68.15,,68.25
Bid,0,0,0,240,66.2,,65.85
Bid,0,,,235,,,60.85
Ask,0.01,,,235,,,63.25
Ask,0.01,0.01,0.01,230,,,58.25
Bid,0,0,0,230,,,55.85
Bid,0,0,0,225,,,50.85
Ask,0.02,0.01,0.01,225,,,53.25
Bid,,,0,222.5,,,
Ask,,,0.01,222.5,,,
Ask,0.01,0.01,0.01,220,48.15,,48.25
Bid,0,0,0,220,46.2,,45.85
Bid,,0,0,217.5,,,
Ask,,0.01,0.01,217.5,,,
Bid,0.01,0,0,215,,,40.85
Ask,0.02,0.02,0.01,215,,,43.25
Bid,,0,0,212.5,,,
Ask,,0.01,0.01,212.5,,,
Bid,0.01,0,0,210,36.2,,36.65
Ask,0.02,0.01,0.02,210,38.15,,37.65
Bid,0.02,0,0,207.5,,,
Ask,0.03,0.02,0.01,207.5,,,
Ask,0.03,0.02,0.01,205,33.15,,33.25
Bid,0.02,0,0,205,31.2,,31.05
Bid,0.03,0,0,202.5,28.7,,28.25
Ask,0.04,0.02,0.01,202.5,30.65,,30.85
Ask,0.05,0.02,0.01,200,28.15,28.15,27.6
Bid,0.04,0.01,0,200,26.2,26.15,26.7
Ask,0.06,0.03,0.02,197.5,25.65,25.75,25.85
Bid,0.05,0.01,0,197.5,23.7,23.6,23.25
Bid,0.07,0.02,0,195,21.2,20.95,21.65
Ask,0.08,0.03,0.01,195,23.15,23.15,22.35
Bid,0.09,0.03,0,192.5,18.7,18.6,19.0
Ask,0.1,0.04,0.01,192.5,20.65,20.75,19.9
Ask,0.14,0.06,0.02,190,17.25,17.8,17.35
Bid,0.13,0.05,0.01,190,16.75,16.6,16.85
Bid,0.2,0.08,0.01,187.5,14.4,14.05,14.6
Ask,0.21,0.09,0.02,187.5,14.95,15.4,14.95
Ask,0.33,0.16,0.03,185,12.25,12.9,12.45
Bid,0.32,0.15,0.02,185,11.95,11.65,12.15
Ask,0.57,0.29,0.05,182.5,9.75,10.05,10.25
Bid,0.56,0.28,0.04,182.5,9.4,9.6,9.7
Bid,0.99,0.54,0.1,180,7.05,7.45,7.95
Ask,1.01,0.55,0.11,180,7.4,7.8,8.0
Ask,1.7,1.05,0.32,177.5,4.95,5.55,6.15
Bid,1.67,1.04,0.31,177.5,4.8,5.5,6.0
Bid,2.65,1.89,0.89,175,2.87,3.8,4.55
Ask,2.66,1.94,0.91,175,2.94,3.9,4.6
Ask,4.05,3.2,2.08,172.5,1.6,2.64,3.4
Bid,3.95,3.1,2.06,172.5,1.57,2.59,3.35
Ask,5.55,4.8,3.8,170,0.8,1.73,2.46
Bid,5.5,4.7,3.75,170,0.78,1.69,2.43
Bid,7.3,6.6,5.75,167.5,0.37,1.09,1.76
Ask,7.45,6.75,5.9,167.5,0.4,1.13,1.77
Ask,9.4,9.55,8.45,165,0.21,0.74,1.25
Bid,9.3,8.6,7.5,165,0.19,0.71,1.23
Bid,11.25,10.75,9.8,162.5,0.12,0.47,0.89
Ask,11.9,11.6,11.1,162.5,0.13,0.5,0.9
Bid,13.5,12.7,12,160,0.09,0.32,0.65
Ask,14.1,13.4,13.35,160,0.1,0.34,0.67
Ask,16.9,17,17.6,157.5,0.08,0.26,0.51
Bid,15.85,14.5,13.75,157.5,0.07,0.24,0.49
Bid,18.3,,15.35,155,0.06,0.18,0.39
Ask,19.2,,20.2,155,0.07,0.2,0.4
Ask,,22.3,22.95,152.5,0.06,0.16,
Bid,,18.3,17.8,152.5,0.05,0.15,
Ask,23.45,,23.95,150,0.05,0.14,0.28
Bid,23.1,,22.15,150,0.03,0.12,0.27
Bid,,,,149,0.03,0.11,
Ask,,,,149,0.05,0.13,
Ask,,,,148,0.04,0.12,
Bid,,,,148,0.03,0.11,
Ask,,,,147,0.04,0.11,
Bid,,,,147,0.03,0.1,
Bid,,,,146,0.02,0.09,
Ask,,,,146,0.04,0.11,
Ask,28.9,,,145,0.03,0.1,0.2
Bid,27.85,,,145,0.02,0.08,0.19
Bid,,,,144,0.02,0.08,
Ask,,,,144,0.03,0.09,
Bid,,,27.25,143,0.02,0.07,
Ask,,,32.4,143,0.03,0.09,
Ask,,,,142,0.03,0.08,
Bid,,,,142,0.01,0.07,
Ask,,,,141,0.03,0.08,
Bid,,,,141,0.01,0.07,
Ask,33.8,,,140,0.02,0.07,0.15
Bid,32.8,,,140,0.01,0.06,0.14
Bid,36.55,35.4,36.55,135,0.01,0.04,0.1
Ask,39.25,38.5,38.95,135,0.02,0.06,0.11
Ask,44.45,,,130,0.01,0.05,0.08
Bid,41.35,,,130,0,0.03,0.07
Bid,45.35,,,125,0,0.02,0.05
Ask,50.2,,,125,0.01,0.04,0.06
Ask,54.1,,,120,0.01,0.03,0.05
Bid,51.5,,,120,0,0.01,0.03
Bid,55.3,55.25,,115,0,0.01,0.03
Ask,60.55,58.65,,115,0.01,0.03,0.04
Bid,61.6,60.25,,110,0,0.01,0.02
Ask,63.95,65.7,,110,0.01,0.02,0.03
Bid,66.6,,,105,0,,0.01
Ask,68.95,,,105,0.01,,0.03
Bid,70.25,,70.3,100,0,,0.01
Ask,75.6,,75.35,100,0.01,,0.02
Bid,75.25,,,95,0,,0.01
Ask,80.55,,,95,0.01,,0.02
Bid,81.65,,,90,0,,0.0
Ask,84.25,,,90,0.01,,0.02
Bid,85.25,,,85,,,0.0
Ask,90.8,,,85,,,0.01
Ask,95.75,,,80,,,0.01
Bid,90.25,,,80,,,0.0
Bid,95.25,,,75,,,0.0
Ask,100.75,,,75,,,0.01
Bid,100.25,,,70,,,0.0
Ask,105.75,,,70,,,0.01
Bid,105.2,,,65,,,0.0
Ask,110.75,,,65,,,0.01
Ask,115.75,,,60,,,0.01
Bid,110.65,,,60,,,0.0
Bid,115.2,,,55,,,0.0
Ask,120.65,,,55,,,0.01
Ask,125.75,,,50,,,0.01
Bid,120.2,,,50,,,0.0
Chain,CE_2026-03-27,CE_2026-03-25,CE_2026-03-23,strikePrice,PE_2026-03-23,PE_2026-03-25,PE_2026-03-27
Bid,0,,,450,,,
Ask,0.01,,,450,,,
Ask,0.01,,,445,,,
