[RSI - Below 30 List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Week RSI,Volatility%,Details
LDOS,803,100,1.0,4,108.67,21.33480605130443,10.39,(Stock Name: Leidos Holdings, Inc.; Sector: Technology; Intrinsic: 39.85; Revenue: 1733 cr; Net Profit: 141 cr; Recommended: buy; Projected High: 225.0; Projected Medium: 178.0; Projected Low: 125.0; All time high: 205.77 => 47.0%; SMA 200: 133.83 => -23.15%; RSI: 21.33; Day Volatility: 10.39; Week Volatility: 10.39; Month Volatility: 23.78; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 123.62 => -13.76%; Week Support: 123.62 => -13.76%; Month Support: 76.58 => 29.53%; Day NWE: 107.21 => 1.34%; Week NWE: 107.21 => 1.34%; Month NWE: 131.34 => -20.86%)
EMBC,4425,100,1.0,1,3.09,21.664870018690948,39.45,(Stock Name: Embecta Corp.; Sector: Healthcare; Intrinsic: -10.55; Revenue: 104 cr; Net Profit: 11 cr; Recommended: none; Projected High: 5.0; Projected Medium: 4.0; Projected Low: 3.0; All time high: 49.0 => 94.0%; SMA 200: 17.06 => -452.24%; RSI: 21.66; Day Volatility: 39.45; Week Volatility: 39.45; Month Volatility: 86.32; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 9.2 => -197.73%; Week Support: 9.2 => -197.73%; Month Support: 9.93 => -221.2%; Day NWE: 0.7 => 77.47%; Week NWE: 0.7 => 77.47%; Month NWE: 0.0 => 100.0%)
MNSO,1691,100,1.0,4,12.15,22.013175077340247,7.37,(Stock Name: MINISO Group Holding Limited; Sector: Consumer Cyclical; Intrinsic: 5.34; Revenue: 2271 cr; Net Profit: 204 cr; Recommended: none; Projected High: 23.85367; Projected Medium: 20.720345; Projected Low: 16.030014; All time high: 35.21 => 65.0%; SMA 200: 18.29 => -50.53%; RSI: 22.01; Day Volatility: 7.37; Week Volatility: 7.37; Month Volatility: 17.85; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.94 => -14.77%; Week Support: 13.94 => -14.77%; Month Support: 12.51 => -2.96%; Day NWE: 9.27 => 23.71%; Week NWE: 9.27 => 23.71%; Month NWE: 0.0 => 100.0%)
SJT,4588,100,1.0,-3,3.17,22.15416270730979,13.02,(Stock Name: San Juan Basin Royalty Trust; Sector: Energy; Intrinsic: 0.05; Revenue: 0 cr; Net Profit: 0 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 28.53 => 89.0%; SMA 200: 6.34 => -99.87%; RSI: 22.15; Day Volatility: 13.02; Week Volatility: 13.02; Month Volatility: 25.64; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.21 => -1.26%; Week Support: 3.21 => -1.26%; Month Support: 3.21 => -1.26%; Day NWE: 3.07 => 3.2%; Week NWE: 3.07 => 3.2%; Month NWE: 1.62 => 48.81%)
NOTV,6296,100,1.0,-3,0.02,22.34576873746814,451.9,(Stock Name: Inotiv, Inc.; Sector: Healthcare; Intrinsic: 2.21; Revenue: 51 cr; Net Profit: -9 cr; Recommended: strong_buy; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 60.66 => 100.0%; SMA 200: 4.02 => -22931.79%; RSI: 22.35; Day Volatility: 451.9; Week Volatility: 451.9; Month Volatility: 313.68; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.15 => -6490.26%; Week Support: 1.15 => -6490.26%; Month Support: 1.18 => -6662.18%; Day NWE: -1.02 => 5924.45%; Week NWE: -1.02 => 5924.45%; Month NWE: -9.4 => 53976.82%)
YRD,4815,100,1.0,4,1.19,22.59236029757864,20.82,(Stock Name: Yiren Digital Ltd.; Sector: Financial Services; Intrinsic: 15.63; Revenue: 572 cr; Net Profit: 5 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 53.5 => 98.0%; SMA 200: 3.92 => -229.15%; RSI: 22.59; Day Volatility: 20.82; Week Volatility: 20.82; Month Volatility: 78.96; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.12 => -246.22%; Week Support: 4.12 => -246.22%; Month Support: 0.67 => 43.7%; Day NWE: 0.27 => 77.19%; Week NWE: 0.27 => 77.19%; Month NWE: 0.7 => 40.89%)
BSX,274,100,1.0,5,44.95,22.972999848321535,9.97,(Stock Name: Boston Scientific Corporation; Sector: Healthcare; Intrinsic: 17.4; Revenue: 2061 cr; Net Profit: 356 cr; Recommended: strong_buy; Projected High: 106.0; Projected Medium: 75.5; Projected Low: 55.0; All time high: 109.5 => 59.0%; SMA 200: 72.15 => -60.5%; RSI: 22.97; Day Volatility: 9.97; Week Volatility: 9.97; Month Volatility: 28.23; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 85.98 => -91.28%; Week Support: 85.98 => -91.28%; Month Support: 34.98 => 22.18%; Day NWE: 41.03 => 8.72%; Week NWE: 41.03 => 8.72%; Month NWE: 62.63 => -39.34%)
PODD,994,40,1.0,4,143.52,23.252401767773733,10.77,(Stock Name: Insulet Corporation; Sector: Healthcare; Intrinsic: 18.81; Revenue: 290 cr; Net Profit: 30 cr; Recommended: strong_buy; Projected High: 360.0; Projected Medium: 248.0; Projected Low: 165.0; All time high: 354.88 => 60.0%; SMA 200: 247.0 => -72.1%; RSI: 23.25; Day Volatility: 10.77; Week Volatility: 10.77; Month Volatility: 28.06; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 160.19 => -11.62%; Week Support: 160.19 => -11.62%; Month Support: 125.82 => 12.33%; Day NWE: 113.49 => 20.92%; Week NWE: 113.49 => 20.92%; Month NWE: 156.01 => -8.7%)
EMPD,4804,100,1.0,-3,3.76,23.29272992571298,16.47,(Stock Name: Empery Digital Inc.; Sector: Consumer Cyclical; Intrinsic: 5.66; Revenue: 0 cr; Net Profit: -23 cr; Recommended: none; Projected High: 6.0; Projected Medium: 6.0; Projected Low: 6.0; All time high: 25862400.0 => 100.0%; SMA 200: 530961.96 => -14121228.64%; RSI: 23.29; Day Volatility: 16.47; Week Volatility: 16.47; Month Volatility: 35.4; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 4.4 => -17.02%; Week Support: 4.4 => -17.02%; Month Support: 0.0 => 100.0%; Day NWE: -118.42 => 3249.57%; Week NWE: -118.42 => 3249.57%; Month NWE: 0.0 => 100.0%)
BLKB,2615,100,1.0,2,26.77,23.323431598195363,14.45,(Stock Name: Blackbaud, Inc.; Sector: Technology; Intrinsic: 0.76; Revenue: 114 cr; Net Profit: 14 cr; Recommended: none; Projected High: 65.0; Projected Medium: 50.0; Projected Low: 45.0; All time high: 120.35 => 78.0%; SMA 200: 65.96 => -146.4%; RSI: 23.32; Day Volatility: 14.45; Week Volatility: 14.45; Month Volatility: 35.91; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 58.05 => -116.85%; Week Support: 58.05 => -116.85%; Month Support: 43.54 => -62.64%; Day NWE: 21.76 => 18.71%; Week NWE: 21.76 => 18.71%; Month NWE: 29.58 => -10.51%)
AORT,2760,100,1.0,3,21.2,23.648198704196265,21.5,(Stock Name: Artivion, Inc.; Sector: Healthcare; Intrinsic: 9.29; Revenue: 46 cr; Net Profit: 1 cr; Recommended: strong_buy; Projected High: 48.0; Projected Medium: 43.0; Projected Low: 36.0; All time high: 48.25 => 56.0%; SMA 200: 24.68 => -16.4%; RSI: 23.65; Day Volatility: 21.5; Week Volatility: 21.5; Month Volatility: 35.04; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 21.97 => -3.63%; Week Support: 21.97 => -3.63%; Month Support: 21.97 => -3.63%; Day NWE: 19.09 => 9.94%; Week NWE: 19.09 => 9.94%; Month NWE: 24.85 => -17.23%)
