[Equity Support - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
OI,2506,100,1.0,-3,9.23,0.0,0.0,0.0,5.16,(Stock Name: O-I Glass, Inc.; Sector: Consumer Cyclical; Intrinsic: 8.32; Revenue: 640 cr; Net Profit: -19 cr; Recommended: buy; Projected High: 15.0; Projected Medium: 14.0; Projected Low: 10.0; All time high: 37.97 => 76.0%; SMA 200: 12.31 => -33.36%; RSI: 56.61; Day Volatility: 5.16; Week Volatility: 10.71; Month Volatility: 29.55; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 9.23 => 0.0%; Week Support: 9.23 => 0.0%; Month Support: 9.23 => 0.0%; Day NWE: 6.87 => 25.57%; Week NWE: 6.68 => 27.59%; Month NWE: 6.09 => 33.99%)
EVEX,2800,100,1.0,-3,2.83,0.0,0.0,17.67,6.01,
OPTT,5108,100,1.0,-3,0.29,0.0,0.0,58.62,5.38,(Stock Name: Ocean Power Technologies, Inc.; Sector: Industrials; Intrinsic: 0.09; Revenue: 0 cr; Net Profit: -4 cr; Recommended: none; Projected High: 1.5; Projected Medium: 1.5; Projected Low: 1.5; All time high: 1934.0 => 100.0%; SMA 200: 0.42 => -45.89%; RSI: 42.19; Day Volatility: 5.38; Week Volatility: 18.07; Month Volatility: 61.05; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.29 => 0.0%; Week Support: 0.29 => 0.0%; Month Support: 0.12 => 58.62%; Day NWE: 0.22 => 22.5%; Week NWE: 0.11 => 61.71%; Month NWE: -4.18 => 1541.82%)
MDT,165,100,1.0,5,79.34,0.06,0.06,13.23,2.11,(Stock Name: Medtronic plc.; Sector: Healthcare; Intrinsic: 38.17; Revenue: 3636 cr; Net Profit: 480 cr; Recommended: buy; Projected High: 121.0; Projected Medium: 98.5; Projected Low: 78.0; All time high: 135.89 => 42.0%; SMA 200: 91.91 => -15.85%; RSI: 49.89; Day Volatility: 2.11; Week Volatility: 5.67; Month Volatility: 12.32; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 79.29 => 0.06%; Week Support: 79.29 => 0.06%; Month Support: 68.84 => 13.23%; Day NWE: 73.06 => 7.91%; Week NWE: 70.82 => 10.74%; Month NWE: 70.27 => 11.44%)
PNR,879,100,1.0,4,74.32,0.09,0.09,48.13,2.79,(Stock Name: Pentair plc.; Sector: Industrials; Intrinsic: 23.58; Revenue: 420 cr; Net Profit: 66 cr; Recommended: none; Projected High: 125.0; Projected Medium: 104.5; Projected Low: 75.0; All time high: 113.95 => 35.0%; SMA 200: 96.95 => -30.45%; RSI: 48.72; Day Volatility: 2.79; Week Volatility: 5.92; Month Volatility: 15.2; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 74.25 => 0.09%; Week Support: 74.25 => 0.09%; Month Support: 38.55 => 48.13%; Day NWE: 64.77 => 12.86%; Week NWE: 63.54 => 14.5%; Month NWE: 73.2 => 1.51%)
AMH,912,100,1.0,4,31.71,0.09,0.09,9.21,1.87,(Stock Name: American Homes 4 Rent; Sector: Real Estate; Intrinsic: 19.04; Revenue: 186 cr; Net Profit: 46 cr; Recommended: buy; Projected High: 40.0; Projected Medium: 35.5; Projected Low: 32.0; All time high: 44.07 => 28.0%; SMA 200: 31.49 => 0.69%; RSI: 44.12; Day Volatility: 1.87; Week Volatility: 4.4; Month Volatility: 9.52; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 31.68 => 0.09%; Week Support: 31.68 => 0.09%; Month Support: 28.79 => 9.21%; Day NWE: 30.7 => 3.2%; Week NWE: 28.15 => 11.23%; Month NWE: 27.26 => 14.02%)
ATNM,5481,100,1.0,-3,1.03,0.1,0.1,0.1,5.26,(Stock Name: Actinium Pharmaceuticals, Inc. ; Sector: Healthcare; Intrinsic: 0.07; Revenue: 0 cr; Net Profit: -2 cr; Recommended: buy; Projected High: 9.0; Projected Medium: 4.5; Projected Low: 2.0; All time high: 450.0 => 100.0%; SMA 200: 1.32 => -27.71%; RSI: 41.27; Day Volatility: 5.26; Week Volatility: 14.88; Month Volatility: 32.73; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.03 => 0.1%; Week Support: 1.03 => 0.1%; Month Support: 1.03 => 0.1%; Day NWE: 0.86 => 16.88%; Week NWE: -0.17 => 116.96%; Month NWE: -2.56 => 348.54%)
VLTO,636,100,1.0,4,84.02,0.18,0.18,0.18,2.55,(Stock Name: Veralto Corp; Sector: Industrials; Intrinsic: 12.23; Revenue: 559 cr; Net Profit: 97 cr; Recommended: buy; Projected High: 132.0; Projected Medium: 106.0; Projected Low: 100.0; All time high: 115.0 => 27.0%; SMA 200: 95.87 => -14.1%; RSI: 47.4; Day Volatility: 2.55; Week Volatility: 4.89; Month Volatility: 10.42; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 83.86 => 0.18%; Week Support: 83.86 => 0.18%; Month Support: 83.86 => 0.18%; Day NWE: 78.59 => 6.47%; Week NWE: 77.46 => 7.8%; Month NWE: 0.0 => 100.0%)
TTEK,1200,100,1.0,2,27.36,0.33,0.33,0.33,3.86,(Stock Name: Tetra Tech, Inc.; Sector: Industrials; Intrinsic: 7.18; Revenue: 440 cr; Net Profit: 44 cr; Recommended: none; Projected High: 48.0; Projected Medium: 40.5; Projected Low: 35.0; All time high: 51.2 => 47.0%; SMA 200: 33.23 => -21.44%; RSI: 42.77; Day Volatility: 3.86; Week Volatility: 8.23; Month Volatility: 22.05; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 27.27 => 0.33%; Week Support: 27.27 => 0.33%; Month Support: 27.27 => 0.33%; Day NWE: 24.37 => 10.93%; Week NWE: 22.08 => 19.29%; Month NWE: 25.16 => 8.03%)
TCX,4591,100,1.0,-2,13.33,0.45,0.45,0.45,4.01,(Stock Name: Tucows Inc.; Sector: Technology; Intrinsic: -16.29; Revenue: 39 cr; Net Profit: -8 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 94.2 => 86.0%; SMA 200: 18.56 => -39.21%; RSI: 39.81; Day Volatility: 4.01; Week Volatility: 9.52; Month Volatility: 29.18; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.27 => 0.45%; Week Support: 13.27 => 0.45%; Month Support: 13.27 => 0.45%; Day NWE: 11.04 => 17.18%; Week NWE: 10.73 => 19.49%; Month NWE: -0.28 => 102.09%)
MAT,1618,100,1.0,3,14.04,0.64,0.64,0.64,3.61,(Stock Name: Mattel, Inc.; Sector: Consumer Cyclical; Intrinsic: 7.25; Revenue: 538 cr; Net Profit: 50 cr; Recommended: none; Projected High: 28.0; Projected Medium: 18.0; Projected Low: 13.0; All time high: 48.48 => 71.0%; SMA 200: 17.55 => -24.97%; RSI: 40.09; Day Volatility: 3.61; Week Volatility: 6.84; Month Volatility: 18.83; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 13.95 => 0.64%; Week Support: 13.95 => 0.64%; Month Support: 13.95 => 0.64%; Day NWE: 12.76 => 9.13%; Week NWE: 11.5 => 18.12%; Month NWE: 12.43 => 11.45%)
RITM,1432,100,1.0,4,9.19,0.65,0.65,0.65,2.24,(Stock Name: Rithm Capital Corp.; Sector: Real Estate; Intrinsic: 12.51; Revenue: 424 cr; Net Profit: 60 cr; Recommended: strong_buy; Projected High: 14.5; Projected Medium: 13.25; Projected Low: 12.5; All time high: 18.75 => 51.0%; SMA 200: 10.57 => -15.03%; RSI: 46.24; Day Volatility: 2.24; Week Volatility: 4.26; Month Volatility: 12.54; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 9.13 => 0.65%; Week Support: 9.13 => 0.65%; Month Support: 9.13 => 0.65%; Day NWE: 8.37 => 8.88%; Week NWE: 8.28 => 9.91%; Month NWE: 8.64 => 6.0%)
STWD,1301,100,1.0,4,16.7,0.66,0.66,0.66,1.61,(Stock Name: STARWOOD PROPERTY TRUST, INC. S; Sector: Real Estate; Intrinsic: 18.34; Revenue: 58 cr; Net Profit: 34 cr; Recommended: buy; Projected High: 24.0; Projected Medium: 20.0; Projected Low: 18.0; All time high: 27.01 => 38.0%; SMA 200: 18.2 => -8.96%; RSI: 39.98; Day Volatility: 1.61; Week Volatility: 3.69; Month Volatility: 6.67; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 16.59 => 0.66%; Week Support: 16.59 => 0.66%; Month Support: 16.59 => 0.66%; Day NWE: 16.29 => 2.48%; Week NWE: 16.12 => 3.5%; Month NWE: 13.84 => 17.14%)
FLL,4814,100,1.0,-3,2.88,0.69,0.69,-18.06,9.35,(Stock Name: Full House Resorts, Inc.; Sector: Consumer Cyclical; Intrinsic: -0.15; Revenue: 30 cr; Net Profit: -4 cr; Recommended: none; Projected High: 4.0; Projected Medium: 3.25; Projected Low: 2.5; All time high: 12.57 => 77.0%; SMA 200: 2.66 => 7.73%; RSI: 54.59; Day Volatility: 9.35; Week Volatility: 17.01; Month Volatility: 22.42; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 2.86 => 0.69%; Week Support: 2.86 => 0.69%; Month Support: 3.4 => -18.06%; Day NWE: 2.41 => 16.37%; Week NWE: 1.65 => 42.81%; Month NWE: 0.15 => 94.73%)
MDWD,4432,100,1.0,-3,14.24,0.7,-12.92,50.14,3.56,(Stock Name: MediWound Ltd.; Sector: Healthcare; Intrinsic: 3.22; Revenue: 1 cr; Net Profit: -3 cr; Recommended: none; Projected High: 36.0; Projected Medium: 31.0; Projected Low: 22.0; All time high: 135.17 => 89.0%; SMA 200: 17.31 => -21.53%; RSI: 41.3; Day Volatility: 3.56; Week Volatility: 8.58; Month Volatility: 18.0; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 14.14 => 0.7%; Week Support: 16.08 => -12.92%; Month Support: 7.1 => 50.14%; Day NWE: 12.82 => 9.98%; Week NWE: 13.37 => 6.08%; Month NWE: 11.18 => 21.48%)
FLWS,4612,100,1.0,-3,3.89,0.77,0.77,-53.73,5.66,(Stock Name: 1-800-FLOWERS.COM, Inc.; Sector: Consumer Cyclical; Intrinsic: 3.0; Revenue: 155 cr; Net Profit: -13 cr; Recommended: none; Projected High: 6.0; Projected Medium: 5.5; Projected Low: 5.0; All time high: 39.61 => 90.0%; SMA 200: 4.01 => -3.13%; RSI: 40.98; Day Volatility: 5.66; Week Volatility: 19.7; Month Volatility: 38.51; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.86 => 0.77%; Week Support: 3.86 => 0.77%; Month Support: 5.98 => -53.73%; Day NWE: 3.63 => 6.64%; Week NWE: 2.39 => 38.68%; Month NWE: -3.77 => 196.85%)
STE,658,100,1.0,4,202.61,0.8,0.8,21.42,2.61,(Stock Name: STERIS plc (Ireland); Sector: Healthcare; Intrinsic: 73.45; Revenue: 594 cr; Net Profit: 78 cr; Recommended: buy; Projected High: 280.0; Projected Medium: 269.0; Projected Low: 225.0; All time high: 269.44 => 25.0%; SMA 200: 238.88 => -17.9%; RSI: 38.02; Day Volatility: 2.61; Week Volatility: 6.29; Month Volatility: 12.99; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 200.98 => 0.8%; Week Support: 200.98 => 0.8%; Month Support: 159.21 => 21.42%; Day NWE: 194.01 => 4.24%; Week NWE: 191.04 => 5.71%; Month NWE: 194.54 => 3.98%)
PEGA,1449,100,1.0,2,30.09,0.85,0.85,51.73,4.73,(Stock Name: Pegasystems Inc.; Sector: Technology; Intrinsic: 4.18; Revenue: 170 cr; Net Profit: 34 cr; Recommended: strong_buy; Projected High: 71.0; Projected Medium: 58.0; Projected Low: 48.0; All time high: 74.4 => 60.0%; SMA 200: 48.75 => -62.0%; RSI: 29.08; Day Volatility: 4.73; Week Volatility: 12.06; Month Volatility: 34.4; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 29.83 => 0.85%; Week Support: 29.83 => 0.85%; Month Support: 14.52 => 51.73%; Day NWE: 27.22 => 9.54%; Week NWE: 23.04 => 23.43%; Month NWE: 26.86 => 10.75%)
IOT,891,100,1.0,5,31.69,0.92,0.92,73.43,5.92,(Stock Name: Samsara Inc.; Sector: Technology; Intrinsic: 2.45; Revenue: 173 cr; Net Profit: 6 cr; Recommended: buy; Projected High: 57.6; Projected Medium: 44.5; Projected Low: 30.0; All time high: 61.9 => 49.0%; SMA 200: 34.07 => -7.52%; RSI: 46.7; Day Volatility: 5.92; Week Volatility: 12.72; Month Volatility: 26.69; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 31.4 => 0.92%; Week Support: 31.4 => 0.92%; Month Support: 8.42 => 73.43%; Day NWE: 28.37 => 10.49%; Week NWE: 21.43 => 32.37%; Month NWE: 0.0 => 100.0%)
SCI,992,100,1.0,4,72.62,1.2,1.2,27.17,3.07,(Stock Name: Service Corporation Internation; Sector: Consumer Cyclical; Intrinsic: 11.47; Revenue: 433 cr; Net Profit: 54 cr; Recommended: none; Projected High: 100.0; Projected Medium: 97.5; Projected Low: 90.0; All time high: 89.37 => 19.0%; SMA 200: 79.88 => -10.0%; RSI: 42.9; Day Volatility: 3.07; Week Volatility: 6.58; Month Volatility: 11.62; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 71.75 => 1.2%; Week Support: 71.75 => 1.2%; Month Support: 52.89 => 27.17%; Day NWE: 66.96 => 7.79%; Week NWE: 71.25 => 1.89%; Month NWE: 68.63 => 5.49%)
MCRB,5130,100,1.0,-3,6.61,1.21,1.21,1.21,10.82,(Stock Name: Seres Therapeutics, Inc.; Sector: Healthcare; Intrinsic: 2.76; Revenue: 0 cr; Net Profit: -5 cr; Recommended: none; Projected High: 22.0; Projected Medium: 22.0; Projected Low: 22.0; All time high: 1040.0 => 99.0%; SMA 200: 13.09 => -97.96%; RSI: 45.12; Day Volatility: 10.82; Week Volatility: 17.43; Month Volatility: 50.76; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.53 => 1.21%; Week Support: 6.53 => 1.21%; Month Support: 6.53 => 1.21%; Day NWE: 4.58 => 30.73%; Week NWE: 1.16 => 82.39%; Month NWE: -29.5 => 546.34%)
