[Equity Underperform - Extreme Low Priced Stock List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Recommended,Intrinsic,Intrinsic Gap%,All time high,ATH Gap%,Volatility%,Details
QFIN,2259,100,1.0,1,15.21,buy,29.58,49.0,48.94,69.0,4.1,(Stock Name: Qfin Holdings, Inc.; Sector: Financial Services; Intrinsic: 29.58; Revenue: 1842 cr; Net Profit: 507 cr; Recommended: buy; Projected High: 30.168077; Projected Medium: 22.54941; Projected Low: 14.531317; All time high: 48.94 => 69.0%; SMA 200: 18.64 => -22.55%; RSI: 55.47; Day Volatility: 4.1; Week Volatility: 13.38; Month Volatility: 21.49; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 13.12 => 13.74%; Month Support: 9.47 => 37.74%; Day NWE: 13.31 => 12.49%; Week NWE: 4.24 => 72.15%; Month NWE: 0.0 => 100.0%)
TCPC,3998,100,1.0,-3,3.41,none,6.72,49.0,18.55,82.0,3.18,(Stock Name: BlackRock TCP Capital Corp.; Sector: Financial Services; Intrinsic: 6.72; Revenue: 19 cr; Net Profit: -13 cr; Recommended: none; Projected High: 5.5; Projected Medium: 3.5; Projected Low: 3.5; All time high: 18.55 => 82.0%; SMA 200: 5.02 => -47.22%; RSI: 31.78; Day Volatility: 3.18; Week Volatility: 9.13; Month Volatility: 26.48; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.27 => -83.87%; Week Support: 6.27 => -83.87%; Month Support: 9.6 => -181.52%; Day NWE: 3.01 => 11.82%; Week NWE: 2.36 => 30.66%; Month NWE: 2.37 => 30.57%)
LITS,5536,100,1.0,-3,0.83,none,1.62,49.0,1080.0,100.0,11.22,
IQ,3311,100,1.0,-3,1.02,none,2.0,49.0,46.23,98.0,3.59,(Stock Name: iQIYI, Inc.; Sector: Communication Services; Intrinsic: 2.0; Revenue: 2633 cr; Net Profit: -68 cr; Recommended: none; Projected High: 2.5284195; Projected Medium: 1.4127752; Projected Low: 0.50349605; All time high: 46.23 => 98.0%; SMA 200: 1.8 => -76.67%; RSI: 34.44; Day Volatility: 3.59; Week Volatility: 10.17; Month Volatility: 34.31; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.5 => -47.06%; Week Support: 1.5 => -47.06%; Month Support: 1.5 => -47.06%; Day NWE: 0.81 => 20.69%; Week NWE: 0.4 => 60.42%; Month NWE: -0.06 => 106.23%)
PERI,3803,100,1.0,-2,8.51,none,16.61,49.0,44.82,81.0,3.52,(Stock Name: Perion Network Ltd; Sector: Communication Services; Intrinsic: 16.61; Revenue: 44 cr; Net Profit: -1 cr; Recommended: none; Projected High: 14.0; Projected Medium: 13.0; Projected Low: 12.0; All time high: 44.82 => 81.0%; SMA 200: 9.45 => -11.08%; RSI: 44.4; Day Volatility: 3.52; Week Volatility: 10.98; Month Volatility: 18.72; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 7.0 => 17.74%; Week Support: 7.0 => 17.74%; Month Support: 7.0 => 17.74%; Day NWE: 7.16 => 15.85%; Week NWE: 7.7 => 9.49%; Month NWE: 0.88 => 89.63%)
ACRE,4123,100,1.0,-3,4.62,hold,8.9,48.0,18.07,74.0,2.74,(Stock Name: Ares Commercial Real Estate Cor; Sector: Real Estate; Intrinsic: 8.9; Revenue: 5 cr; Net Profit: -2 cr; Recommended: hold; Projected High: 5.5; Projected Medium: 5.5; Projected Low: 5.0; All time high: 18.07 => 74.0%; SMA 200: 4.94 => -6.89%; RSI: 38.47; Day Volatility: 2.74; Week Volatility: 7.42; Month Volatility: 16.11; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.35 => 27.49%; Week Support: 3.35 => 27.49%; Month Support: 3.35 => 27.49%; Day NWE: 4.47 => 3.3%; Week NWE: 4.0 => 13.33%; Month NWE: 1.48 => 67.96%)
BNKK,5701,100,1.0,2,2.24,none,4.23,47.0,310.8,99.0,13.17,(Stock Name: Bonk, Inc.; Sector: Financial Services; Intrinsic: 4.23; Revenue: 1 cr; Net Profit: -7 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 310.8 => 99.0%; SMA 200: 7.51 => -235.43%; RSI: 37.66; Day Volatility: 13.17; Week Volatility: 25.69; Month Volatility: 123.09; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 19.25 => -759.37%; Month Support: 10.68 => -376.56%; Day NWE: 1.3 => 41.79%; Week NWE: -11.11 => 595.92%; Month NWE: 0.0 => 100.0%)
KIDZ,6277,100,1.0,-3,1.48,none,2.82,47.0,5325.0,100.0,19.44,(Stock Name: KIDZ AI Inc.; Sector: Consumer Defensive; Intrinsic: 2.82; Revenue: 0 cr; Net Profit: -1 cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0; All time high: 5325.0 => 100.0%; SMA 200: 181.76 => -12181.34%; RSI: 23.21; Day Volatility: 19.44; Week Volatility: 144.51; Month Volatility: 3330.69; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 0.0 => 100.0%; Month Support: 0.0 => 100.0%; Day NWE: -17.63 => 1291.31%; Week NWE: 0.0 => 100.0%; Month NWE: 0.0 => 100.0%)
LAND,3678,100,1.0,-3,8.66,none,16.48,47.0,42.1,79.0,2.65,(Stock Name: Gladstone Land Corporation; Sector: Real Estate; Intrinsic: 16.48; Revenue: 9 cr; Net Profit: -3 cr; Recommended: none; Projected High: 12.0; Projected Medium: 11.5; Projected Low: 10.0; All time high: 42.1 => 79.0%; SMA 200: 9.78 => -12.89%; RSI: 31.29; Day Volatility: 2.65; Week Volatility: 5.17; Month Volatility: 17.23; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 8.47 => 2.19%; Week Support: 8.47 => 2.19%; Month Support: 8.47 => 2.19%; Day NWE: 8.04 => 7.18%; Week NWE: 8.0 => 7.57%; Month NWE: 1.63 => 81.21%)
ACCO,3720,100,1.0,3,3.9,none,7.37,47.0,14.75,74.0,3.11,(Stock Name: Acco Brands Corporation; Sector: Industrials; Intrinsic: 7.37; Revenue: 155 cr; Net Profit: 7 cr; Recommended: none; Projected High: 9.0; Projected Medium: 9.0; Projected Low: 5.0; All time high: 14.75 => 74.0%; SMA 200: 3.74 => 4.21%; RSI: 51.91; Day Volatility: 3.11; Week Volatility: 6.47; Month Volatility: 15.6; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.32 => 14.87%; Week Support: 3.32 => 14.87%; Month Support: 4.27 => -9.49%; Day NWE: 3.45 => 11.57%; Week NWE: 2.81 => 28.02%; Month NWE: 1.6 => 59.02%)
CLAR,4812,100,1.0,-2,2.72,buy,5.04,46.0,32.36,92.0,6.3,(Stock Name: Clarus Corporation; Sector: Consumer Cyclical; Intrinsic: 5.04; Revenue: 25 cr; Net Profit: -4 cr; Recommended: buy; Projected High: 5.0; Projected Medium: 3.475; Projected Low: 3.0; All time high: 32.36 => 92.0%; SMA 200: 3.3 => -21.29%; RSI: 48.35; Day Volatility: 6.3; Week Volatility: 11.97; Month Volatility: 21.32; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.02 => -11.03%; Week Support: 3.02 => -11.03%; Month Support: 7.86 => -189.13%; Day NWE: 2.41 => 11.23%; Week NWE: 1.95 => 28.46%; Month NWE: -3.09 => 213.46%)
